"Nº INSCRIPCIÓN","DENOMINACIÓN SOCIAL","PROVINCIA","LOCALIDAD","CP","CLASE O GRADO","FECHA INSCRIPCIÓN"
"EXT-945","AJOS TIERRA DE BARROS, SOCIEDAD COOPERATIVA","BADAJOZ","ACEUCHAL","06207","Sociedades Cooperativas Agroalimentarias",01/02/12
"EXT-1093","AVÍCOLA DE ACEUCHAL S. COOP. ESPECIAL","BADAJOZ","ACEUCHAL","06207","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",15/03/16
"EXT-204","COOPERATIVA EXTREMEÑA DE AJOS ""ACEUCHAL"", S. COOP.","BADAJOZ","ACEUCHAL","06207","Sociedades Cooperativas Agroalimentarias",19/09/03
"EXT-1055","FISKELLES, S. COOP. ESPECIAL","BADAJOZ","ACEUCHAL","06207","Sociedades Cooperativas Agroalimentarias",11/11/14
"EXT-948","LOS CLAROS, S. COOP. ESPECIAL","BADAJOZ","ACEUCHAL","06207","Sociedades Cooperativas Agroalimentarias",07/03/12
"EXT-1190","PAJARITOS, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","ACEUCHAL","06207","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",17/10/18
"EXT-455","SOCIEDAD COOPERATIVA LIMITADA DEL CAMPO SAN ISIDRO DE ACEUCHAL","BADAJOZ","ACEUCHAL","06207","Sociedades Cooperativas Agroalimentarias",19/08/83
"EXT-061","SOCIEDAD COOPERATIVA NUESTRA SEÑORA DE LA SOLEDAD","BADAJOZ","ACEUCHAL","06207","Sociedades Cooperativas Agroalimentarias",27/12/76
"EXT-935","ASISTENCIA A MAYORES EN AHILLONES AMA SOCIEDAD COOPERATIVA","BADAJOZ","AHILLONES","06940","Sociedades Cooperativas de Trabajo Asociado",06/11/03
"EXT-577","S. COOP. AGRICULTORES Y GANADEROS DE AHILLONES","BADAJOZ","AHILLONES","06940","Sociedades Cooperativas Agroalimentarias",21/09/01
"EXT-925","CENTRO DE DIA ALANGE, S. COOP. ESPECIAL","BADAJOZ","ALANGE","06840","Sociedades Cooperativas de Trabajo Asociado",28/07/11
"EXT-1205","PORHORNILLOS, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","ALBUERA (LA)","06170","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",16/04/19
"23227","SOCIEDAD COOPERATIVA NUESTRA SEÑORA DEL CAMINO","BADAJOZ","ALBUERA (LA)","06170","Sociedades Cooperativas Agroalimentarias",01/12/77
"EXT-334","SOCIEDAD COOPERATIVA OLIVARERA DE LA ALBUERA","BADAJOZ","ALBUERA (LA)","06170","Sociedades Cooperativas Agroalimentarias",27/03/00
"EXT-561","TIERRAS LLANAS DE LA ALBUERA S. COOP. LTDA.","BADAJOZ","ALBUERA (LA)","06170","Sociedades Cooperativas Agroalimentarias",16/09/02
"EXT-1165","ALVISA, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","ALBURQUERQUE","06510","Sociedades Cooperativas de Trabajo Asociado",04/04/18
