Comarca, Tipo de Aceituna, Año, Toneladas
La Serena, Aceituna de mesa, 2014, 16991
La Serena, Aceituna de mesa, 2015, 4446
La Serena, Aceituna de mesa, 2016, 10833
La Serena, Aceituna de mesa, 2017, 16216
La Serena, Aceituna de mesa, 2018, 8153
La Serena, Aceituna de mesa, 2019, 2821
La Serena, Aceituna de mesa, 2020, 6113
La Serena, Aceituna de mesa, 2021, 4027
La Serena, Aceituna de mesa, 2022, 11867
La Serena, Aceituna de mesa, 2023, 2207
La Serena, Aceituna para aceite, 2014, 13174
La Serena, Aceituna para aceite, 2015, 10767
La Serena, Aceituna para aceite, 2016, 16820
La Serena, Aceituna para aceite, 2017, 17360
La Serena, Aceituna para aceite, 2018, 13485
La Serena, Aceituna para aceite, 2019, 14172
La Serena, Aceituna para aceite, 2020, 18002
La Serena, Aceituna para aceite, 2021, 6337
La Serena, Aceituna para aceite, 2022, 14932
La Serena, Aceituna para aceite, 2023, 5314
Las Vegas Altas, Aceituna de mesa, 2014, 4860
Las Vegas Altas, Aceituna de mesa, 2015, 13070
Las Vegas Altas, Aceituna de mesa, 2016, 16238
Las Vegas Altas, Aceituna de mesa, 2017, 14656
Las Vegas Altas, Aceituna de mesa, 2018, 1986
Las Vegas Altas, Aceituna de mesa, 2019, 9274
Las Vegas Altas, Aceituna de mesa, 2020, 3620
Las Vegas Altas, Aceituna de mesa, 2021, 17926
Las Vegas Altas, Aceituna de mesa, 2022, 15171
Las Vegas Altas, Aceituna de mesa, 2023, 7329
Las Vegas Altas, Aceituna para aceite, 2014, 2007
Las Vegas Altas, Aceituna para aceite, 2015, 7323
Las Vegas Altas, Aceituna para aceite, 2016, 13549
Las Vegas Altas, Aceituna para aceite, 2017, 8435
Las Vegas Altas, Aceituna para aceite, 2018, 8023
Las Vegas Altas, Aceituna para aceite, 2019, 2628
Las Vegas Altas, Aceituna para aceite, 2020, 18453
Las Vegas Altas, Aceituna para aceite, 2021, 11832
Las Vegas Altas, Aceituna para aceite, 2022, 13259
Las Vegas Altas, Aceituna para aceite, 2023, 15486
La Siberia, Aceituna de mesa, 2014, 17693
La Siberia, Aceituna de mesa, 2015, 9580
La Siberia, Aceituna de mesa, 2016, 14841
La Siberia, Aceituna de mesa, 2017, 17121
La Siberia, Aceituna de mesa, 2018, 9736
La Siberia, Aceituna de mesa, 2019, 4922
La Siberia, Aceituna de mesa, 2020, 16249
La Siberia, Aceituna de mesa, 2021, 9946
La Siberia, Aceituna de mesa, 2022, 16876
La Siberia, Aceituna de mesa, 2023, 3769
La Siberia, Aceituna para aceite, 2014, 19818
La Siberia, Aceituna para aceite, 2015, 5591
La Siberia, Aceituna para aceite, 2016, 9158
La Siberia, Aceituna para aceite, 2017, 9301
La Siberia, Aceituna para aceite, 2018, 19080
La Siberia, Aceituna para aceite, 2019, 16894
