Código,Nombre,Descripción,Precio
GWXDYH90,Martillo,Herramienta manual para golpear,31.65
KPCA0OYI,Destornillador,Herramienta para atornillar,105.44
TGQITQSE,Llave inglesa,Llave ajustable,113.69
U5N74F0E,Sierra,Herramienta para cortar madera o metal,38.54
C2JKQAQJ,Taladro,Herramienta eléctrica para perforar,116.18
PM2CM4AT,Alicates,Herramienta para sujetar objetos,42.09
ZFJ8G1GY,Cinta métrica,Instrumento para medir distancias,122.95
OA79CXM0,Nivel,Herramienta para nivelar superficies,33.58
RIW38Q09,Clavos,Elementos metálicos para unir,7.42
NO5DQ6N1,Tornillos,Elementos metálicos para fijar,100.56
2QEGHZN2,Pintura,Producto para recubrir superficies,61.97
699VF59Z,Brocha,Herramienta para pintar,79.1
CJIT1G3W,Lijadora,Máquina para lijar superficies,124.77
EJ2PM9M6,Pulidora,Herramienta para pulir superficies,141.52
MZOC8LXP,Esmeril,Máquina para afilar,141.49
HSKH1N1H,Soldador,Herramienta para soldar metales,147.34
IOVKKGUK,Manguera,Tubo flexible para transportar líquidos,20.01
GSA9YBE6,Escalera,Herramienta para alcanzar alturas,107.26
468TGNTS,Cerradura,Mecanismo de seguridad para puertas,11.49
OSXHDMHS,Bisagra,Pieza de metal que permite el giro de puertas,93.68
